Tweet_ID,Label,Tweet_Length_Words,Tweet_Length_Chars,Tweet_Punctuation_Count,Tweet_Has_URL,Tweet_Has_Short_URL,Tweet_Has_Emoji,Tweet_Has_User_Mentions,Tweet_Num_Mentions,Tweet_Num_Hashtags,Tweet_Num_Likes,Tweet_Num_Retweets,Tweet_Num_Replies,Tweet_Compound_Score,Tweet_Is_Reply,User_Time_on_Twitter,User_Followers,User_Friends,User_Is_Verified,User_Handle_Has_Number
973377899414937600,1,45,345,17,0,0,0,1,7,0,3,1,3,0.7261,1,48,3176,3176,0,0
976529260440702977,0,44,301,17,1,1,0,1,2,5,15,4,1,0.2023,0,85,11043,11043,0,0
970571787409879040,1,14,110,11,1,1,0,0,0,3,1,2,0,-0.5413,0,37,703,703,0,0
970834271064616960,0,14,149,10,1,1,0,1,2,3,0,1,0,-0.6705,0,120,2704,2704,0,0
978519673921855489,1,50,335,20,0,0,0,1,5,1,0,1,1,0.5994,1,117,2948,2948,0,0
978536101534162944,0,32,219,14,1,1,0,1,1,4,1,1,0,-0.0516,0,107,2092,2092,0,0
976681353583439872,0,35,281,18,1,1,0,0,0,5,4,1,1,0.4199,0,91,27250,27250,1,0
968954863366283265,1,37,300,20,1,1,0,0,0,4,8,5,2,-0.2732,0,43,902,902,0,0
968794548729253889,1,32,291,17,1,1,0,0,0,3,6,7,0,0.802,0,100,549,549,0,0
969294505059979265,0,45,298,16,1,1,0,0,0,2,1,1,0,0.9371,0,100,9520,9520,0,0
969284003298775041,0,49,275,25,1,1,1,0,0,2,1,1,0,-0.3036,0,21,27,27,0,0
969294221034303493,1,49,315,23,1,1,0,0,0,3,5,1,1,0.7745,0,122,4331,4331,1,1
970936795314651136,0,19,194,18,1,1,0,1,1,3,1,1,0,0.0,0,133,3248,3248,0,0
977162867232387072,0,26,188,9,0,0,0,1,4,1,1,2,0,-0.4019,1,122,937,937,0,0
976301359153606656,0,19,164,15,1,1,0,1,1,4,5,9,2,-0.6969,0,120,2731,2731,0,0
911454810414518272,0,23,149,10,1,1,0,0,0,4,13,12,2,-0.3182,0,22,118,118,0,0
972819722961080321,0,31,224,15,1,1,0,1,1,3,3,1,0,0.5859,0,123,2762,2762,1,0
969789016290635777,1,12,116,11,1,1,0,1,1,4,2,1,0,-0.5994,0,120,2681,2681,0,0
969795260493701120,1,29,214,14,1,1,0,1,1,0,0,1,0,-0.1531,1,105,3508,3508,0,0
972534323038556160,1,96,948,76,1,1,0,1,50,2,1,1,0,0.0995,1,123,1535,1535,0,0
972818609297747969,0,30,298,27,1,1,0,1,2,7,0,1,0,0.6705,0,83,491,491,0,0
976834968428138497,0,18,143,10,1,1,0,1,1,2,0,1,0,0.5106,0,115,35690,35690,1,0
972007810299908096,1,48,258,6,0,0,0,1,4,1,0,1,1,0.7227,1,24,65,65,0,0
